position,artist,track,year,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,uri,duration_ms,time_signature
953,Above & Beyond,Red Rocks - Extended Mix,2018,0.624,0.669,2,-6.382,0.0374,0.00275,0.788,0.62,0.149,128.012,62AWQLF3BJiV64mlbDsbhM,spotify:track:62AWQLF3BJiV64mlbDsbhM,466875,4
952,Paul van Dyk & ARTY,The Ocean - Extended Version,2012,0.786,0.541,6,-7.704,0.0725,0.00053,0.0898,0.0867,0.114,130.008,0rY9o0muG9mw5vKiIUeW9S,spotify:track:0rY9o0muG9mw5vKiIUeW9S,413538,4
951,Hilight Tribe & Vini Vici,Free Tibet - Vini Vici Remix,2016,0.383,0.947,1,-5.93,0.0654,0.0131,0.697,0.143,0.0741,103.512,2wy29RBixBECDOsXuBs7md,spotify:track:2wy29RBixBECDOsXuBs7md,474783,3
950,Jody Wisternoff & Sian Evans,The Bridge - Chicane Rework,2015,0.76,0.653,2,-8.448,0.0529,0.0104,0.835,0.0339,0.475,124.998,48rm8lXUW9xp0EnmqC7Bzu,spotify:track:48rm8lXUW9xp0EnmqC7Bzu,347529,4
949,Mat Zo,Near The End - Original Mix,2012,0.698,0.868,11,-9.138,0.0646,0.00378,0.837,0.16,0.101,126.983,2eHzMhR3yMx7r66idFu0V1,spotify:track:2eHzMhR3yMx7r66idFu0V1,498500,4
948,Aly & Fila & Sue McLaren,Mysteries Unfold - Uplifting Mix,2013,0.526,0.958,6,-5.885,0.0784,0.000493,0.695,0.168,0.251,139.994,5Mw6cLNaVFbyM2hnIGdWCe,spotify:track:5Mw6cLNaVFbyM2hnIGdWCe,485143,4
947,Kyau & Albert & Marc Marberg,Megashira (Original Mix),2007,0.692,0.506,2,-7.735,0.0628,0.00101,0.0307,0.0404,0.331,133.997,68x45MVBi3jFRFrdC4hFmk,spotify:track:68x45MVBi3jFRFrdC4hFmk,426733,4
946,Christina Novelli & Allen Watts,I'm Ok - Allen Watts Extended Remix,2020,0.54,0.993,3,-6.561,0.0638,0.000641,0.453,0.46,0.509,135.978,0WA5YLR9zI2d6JfNCi0V0J,spotify:track:0WA5YLR9zI2d6JfNCi0V0J,357509,4
945,Bart Claessen,Hartseer - Extended Mix,2010,0.609,0.745,11,-12.13,0.0595,0.0301,0.796,0.101,0.112,132.026,6EbEF5LLL7Oqp6UcjfYibf,spotify:track:6EbEF5LLL7Oqp6UcjfYibf,550328,4
944,Ferry Corsten,Galaxia - Extended Mix,2011,0.513,0.525,5,-12.505,0.0316,0.000487,0.823,0.0982,0.119,136.987,7gy3ypHbCv3gehPqMpgvfl,spotify:track:7gy3ypHbCv3gehPqMpgvfl,539320,4
943,Probspot,Foreplay - Original Mix,2004,0.621,0.814,6,-8.565,0.0436,0.000723,0.86,0.139,0.447,130.017,5wo8cml1hKMByTMZJW0yv7,spotify:track:5wo8cml1hKMByTMZJW0yv7,630960,4
942,Giuseppe Ottaviani & Kyler England & Omnia,Firefly - Omnia Extended Remix,2017,0.632,0.781,6,-4.199,0.136,0.0562,3.67e-06,0.142,0.306,128.002,6VgfdNIe4GvefG0YQwgU7a,spotify:track:6VgfdNIe4GvefG0YQwgU7a,326420,4
941,Ferry Corsten & Simon Lebon,Fire - Extended Mix,2011,0.546,0.888,10,-7.662,0.0315,8.46e-06,0.69,0.0279,0.798,132.0,5S1PFtdYs6xM2TiuZd6bAt,spotify:track:5S1PFtdYs6xM2TiuZd6bAt,439267,4
940,Selu Vibra,Stargazing [ASOT 224] - Original Mix,2005,0.559,0.879,2,-10.238,0.0845,0.000479,0.94,0.364,0.153,138.133,2isoGqi07qdcDbx7UXEcSI,spotify:track:2isoGqi07qdcDbx7UXEcSI,367809,4
939,Hardwell,Eclipse,2015,0.362,0.789,9,-3.606,0.0881,0.0168,0.000349,0.0754,0.0479,128.022,74h8jPe9Xbc05Rt4yZzzAv,spotify:track:74h8jPe9Xbc05Rt4yZzzAv,192923,4
938,Aly & Fila & HALIENE & Monoverse,Breathe Us To Life - Monoverse Extended Remix,2018,0.665,0.809,5,-5.702,0.0586,0.00107,0.264,0.0919,0.146,130.015,1T7eTBVCpdjXDJhpCCmeFR,spotify:track:1T7eTBVCpdjXDJhpCCmeFR,426721,4
937,Super8 & Tab & Anton Sonin,Black Is The New Yellow - Original Mix,2012,0.622,0.725,1,-8.688,0.0325,0.000154,0.926,0.0902,0.275,132.0,57uXzlYEOrsNYrTAK5unXr,spotify:track:57uXzlYEOrsNYrTAK5unXr,492674,4
936,Arctic Moon,Adelaide - Original Mix,2011,0.454,0.991,2,-6.228,0.0454,1.72e-05,0.915,0.17,0.226,140.016,5vSsQH8wH68PDKJbNfxzpc,spotify:track:5vSsQH8wH68PDKJbNfxzpc,479817,4
935,Tiësto & Hardwell,Zero 76,2011,0.656,0.822,7,-7.335,0.0485,0.00891,0.935,0.0813,0.0392,127.997,0KxzO6ZP8mq8Aml11XiVEO,spotify:track:0KxzO6ZP8mq8Aml11XiVEO,365625,4
934,Will Atkinson,Victims - Original Mix,2014,0.508,0.965,1,-5.424,0.0512,0.00534,0.916,0.052,0.202,137.994,4qT0IV51T7tE8TeoONJR5X,spotify:track:4qT0IV51T7tE8TeoONJR5X,537391,4
933,Ferry Corsten,Twice In A Blue Moon - Extended Mix,2009,0.575,0.843,7,-8.696,0.129,0.00112,0.117,0.276,0.266,135.991,04nPGjJJTJL1PFgwgiKG2H,spotify:track:04nPGjJJTJL1PFgwgiKG2H,412452,4
932,Tiësto & Allure,The Loves We Lost,2005,0.547,0.701,10,-11.739,0.0411,0.000103,0.54,0.0507,0.201,138.013,28cunIfhD5BkPzwumxy1T3,spotify:track:28cunIfhD5BkPzwumxy1T3,533400,4
931,Omnia,The Light - Original Mix,2013,0.532,0.965,4,-3.746,0.0623,0.000255,0.000946,0.486,0.314,127.99,1tgCGmTU3ROQfszdqObaZS,spotify:track:1tgCGmTU3ROQfszdqObaZS,348122,4
930,Tenishia & Ruben de Ronde,Marsascala - Alexander Popov Remix,2012,0.58,0.915,10,-9.036,0.0446,0.0122,0.881,0.718,0.155,134.012,4SwGtjqBvoqupw4HxRljEE,spotify:track:4SwGtjqBvoqupw4HxRljEE,395821,4
929,Goldenscan & Tiësto,Sunrise - Tiësto Remix,2011,0.57,0.762,9,-8.622,0.0642,1.63e-05,0.904,0.124,0.558,136.999,6ytPTGhq5dQn7XbpJ2GcNA,spotify:track:6ytPTGhq5dQn7XbpJ2GcNA,588603,4
928,Ernesto vs. Bastian & Susana,Dark Side Of The Moon - Original Extended,2005,0.617,0.56,9,-9.833,0.0414,0.000283,0.000708,0.0824,0.689,138.005,0UmVA2pTlalzEMpdh12Pe4,spotify:track:0UmVA2pTlalzEMpdh12Pe4,487587,4
927,Sensation,The Anthem 2003 - Original Mix,2003,0.584,0.646,6,-11.504,0.0392,5.75e-05,0.895,0.179,0.387,137.998,0PRpDQIcIIGOhPyfxCV4j3,spotify:track:0PRpDQIcIIGOhPyfxCV4j3,542160,4
926,Solarstone,Thank You - Extended Mix,2020,0.411,0.968,7,-7.435,0.0492,0.00172,0.855,0.102,0.178,137.979,3bICLqErW1avxEuCbShHXc,spotify:track:3bICLqErW1avxEuCbShHXc,511290,4
925,John O'Callaghan & Cold Blue,Symmetric - Extended Mix,2019,0.521,0.892,6,-6.938,0.0503,0.000979,0.849,0.582,0.133,140.002,6x87ejWlGZWg44HACeAEqK,spotify:track:6x87ejWlGZWg44HACeAEqK,480643,4
924,Denis Kenzo & Sveta B.,Sweet Lie - Extended Mix,2018,0.546,0.7,0,-6.604,0.0447,0.0488,0.00022,0.186,0.145,128.02,1O21Jo4liYgc7O2Oyp7HEp,spotify:track:1O21Jo4liYgc7O2Oyp7HEp,367500,4
923,Airscape,Sosei - F&W Remix,2004,0.609,0.959,6,-7.782,0.313,0.000194,0.613,0.339,0.209,139.989,2p01drTiAZIXSAGGYHDtmA,spotify:track:2p01drTiAZIXSAGGYHDtmA,390840,4
922,Space RockerZ & Tania Zygar,Puzzle Piece - Daniel Heatcliff's Farewell Remix,2011,0.807,0.689,5,-5.213,0.24,0.0248,0.0136,0.0936,0.281,130.015,2BMFCA9qtbKHxHkwLpRMxc,spotify:track:2BMFCA9qtbKHxHkwLpRMxc,505846,4
921,Eric Prydz,Pjanoo - Club Mix,2008,0.663,0.624,7,-6.923,0.0324,0.000939,0.889,0.0666,0.63,126.026,0noVd1VU93X8TEZMmpR3yN,spotify:track:0noVd1VU93X8TEZMmpR3yN,450912,4
920,Protoculture,Perpetual Motion - Original Mix,2012,0.561,0.894,11,-8.782,0.0451,0.000676,0.891,0.306,0.299,130.016,5T14qzn2yOia8bLEigbuVr,spotify:track:5T14qzn2yOia8bLEigbuVr,428000,4
919,Andrew Bayer & Alison May,Immortal Lover - In My Next Life Mix,2018,0.631,0.559,1,-6.818,0.0914,0.00184,0.0401,0.0544,0.255,128.025,6GR5KkRvzbXie3Oeu22SLz,spotify:track:6GR5KkRvzbXie3Oeu22SLz,435469,4
918,deadmau5,Not Exactly,2009,0.799,0.553,0,-6.845,0.0771,0.0144,0.875,0.3,0.77,128.006,0rWEkMZhwIyjdvo1PosBmv,spotify:track:0rWEkMZhwIyjdvo1PosBmv,555140,4
917,Vini Vici & Jean Marie & Hilight Tribe,Moyoni,2019,0.614,0.989,1,-4.724,0.194,0.0132,0.0176,0.112,0.0921,103.485,69pnjAws2uzNZJEK64p9JI,spotify:track:69pnjAws2uzNZJEK64p9JI,217391,3
916,Emma Hewitt,Miss You Paradise - Shogun Remix,2012,0.657,0.78,11,-3.499,0.0654,0.000128,0.0126,0.0845,0.481,131.987,4NLZCH9YmrIzkei4fqjwyW,spotify:track:4NLZCH9YmrIzkei4fqjwyW,457839,4
915,Assaf & Cassandra Grey,Lost At Sea,2020,0.691,0.763,5,-6.462,0.0356,0.00109,0.123,0.12,0.123,126.011,01bxMdpn9t2FWsyXMbZUOe,spotify:track:01bxMdpn9t2FWsyXMbZUOe,228571,4
914,Andrew Rayel,Latifa,2014,0.56,0.764,2,-5.477,0.0965,0.0352,0.451,0.0823,0.0358,133.98,5gT8WvHJOOUpxPNblCKyRB,spotify:track:5gT8WvHJOOUpxPNblCKyRB,326302,4
913,Andrew Bayer & Matt Lange & Kerry Leva,In And Out Of Phase - Club Edit,2012,0.833,0.661,7,-8.477,0.135,0.0157,0.626,0.0527,0.4,127.998,69UGiOsqeioL4ZVAkdLSS7,spotify:track:69UGiOsqeioL4ZVAkdLSS7,457886,4
912,Andy Moor & Ashley Wallbridge & Meighan Nealon,Faces - Original Mix,2009,0.631,0.458,9,-10.063,0.0463,0.000422,0.206,0.0834,0.145,130.019,0IcBMAsqBAOItsprVN6FAe,spotify:track:0IcBMAsqBAOItsprVN6FAe,513231,4
911,Sunset Bros & Mark McCabe & MaRLo,I'm Feeling It (In The Air) - Sunset Bros X Mark McCabe / MaRLo Remix,2018,0.519,0.916,0,-4.767,0.041,5.78e-05,0.534,0.602,0.0596,137.99,1o5PLOy2ilj8Ag9b90jVWS,spotify:track:1o5PLOy2ilj8Ag9b90jVWS,347810,4
910,Sunlounger & Zara Taylor & Roger Shah,Found - Roger Shah Original Mix,2010,0.711,0.707,10,-6.976,0.185,0.0108,0.0164,0.0592,0.631,131.989,7cSYClw6Wv8KKwdGAre77A,spotify:track:7cSYClw6Wv8KKwdGAre77A,496364,4
909,JES & STANDERWICK,Everything - STANDERWICK Extended Remix,2020,0.527,0.994,8,-2.285,0.0688,0.000506,0.301,0.0986,0.181,138.005,74WVivCxwoeGWJd0bSFi4B,spotify:track:74WVivCxwoeGWJd0bSFi4B,358261,4
908,Tiësto & Maxi Jazz,Dance4Life - 12 Inch Remix,2009,0.713,0.731,6,-8.898,0.051,0.00214,0.672,0.0985,0.427,132.009,5HpfiwGVdixcWofopuqHcp,spotify:track:5HpfiwGVdixcWofopuqHcp,461818,4
907,Super8 & Tab,Cosmo - Extended Mix,2017,0.505,0.896,1,-5.044,0.0427,0.000542,0.547,0.145,0.284,130.972,2EXFoUQZcYV561qPFJrU28,spotify:track:2EXFoUQZcYV561qPFJrU28,327046,4
906,Avao,Cosmic Order - Extended Mix,2019,0.69,0.787,7,-4.454,0.0714,0.00276,0.142,0.234,0.228,131.97,52JM8kU3pHQy2QNLnQYpbC,spotify:track:52JM8kU3pHQy2QNLnQYpbC,294642,4
905,Giuseppe Ottaviani,Colours - Extended Mix,2019,0.588,0.878,5,-6.374,0.0488,0.00153,0.938,0.094,0.0751,138.012,6fNrKcr5kd7loOOVfez3AH,spotify:track:6fNrKcr5kd7loOOVfez3AH,339130,4
904,Yahel & Tammy,Cloud 9 - Oraw Remix,2017,0.66,0.849,1,-7.121,0.05,0.0313,0.411,0.163,0.157,140.02,3Hkp9NQj6VMqvE3li67v6J,spotify:track:3Hkp9NQj6VMqvE3li67v6J,342857,4
903,Maarten de Jong & Allen Watts,Caffeine - Extended Mix,2019,0.487,0.915,1,-6.674,0.0347,0.000218,0.94,0.0719,0.0766,135.022,0orEEVWrXLMHc7Sb4Kt7lO,spotify:track:0orEEVWrXLMHc7Sb4Kt7lO,402250,4
902,Elysian & Ilan Bluestone & Maor Levi & Emma Hewitt,Beyond The Comfort Zone - Extended Mix,2020,0.549,0.812,7,-6.711,0.104,0.00186,0.0788,0.103,0.186,129.977,26FXlqKg3B2AWONdZD6M5L,spotify:track:26FXlqKg3B2AWONdZD6M5L,364620,4
901,Lemon & Einar K,Anticipation,2007,0.586,0.986,0,-6.317,0.0599,0.000149,0.856,0.0817,0.447,138.011,4j0CHeSLB6HvapOeSQYZNt,spotify:track:4j0CHeSLB6HvapOeSQYZNt,525959,4
900,Dash Berlin & Jonathan Mendelsohn,World Falls Apart - Club Mix,2012,0.653,0.655,11,-7.256,0.109,0.00408,0.000298,0.0457,0.266,132.914,2gRfSK6vh6p2WZeeA5DU0S,spotify:track:2gRfSK6vh6p2WZeeA5DU0S,440301,4
899,Luigi Lusini,Who We Are,2010,0.736,0.727,7,-5.134,0.0563,0.000999,0.891,0.0829,0.0817,127.991,5EMaHrjwR4T2etHH3QCZGD,spotify:track:5EMaHrjwR4T2etHH3QCZGD,483997,4
898,Factor B,We Rise Again - Extended Mix,2016,0.466,0.922,9,-6.751,0.0397,0.000167,0.926,0.0349,0.125,136.999,1MQsqcerFlZIOcyTCBPlRJ,spotify:track:1MQsqcerFlZIOcyTCBPlRJ,524000,4
897,Thomas Bronzwaer,Shadow World - Original Mix,2006,0.538,0.82,6,-8.469,0.0521,2.59e-05,0.862,0.0771,0.138,138.018,5TfVRrIBpOgn1JyDIT4XHA,spotify:track:5TfVRrIBpOgn1JyDIT4XHA,497667,4
896,Shane,Too Late To Turn - Armin Van Buuren Remix,2006,0.609,0.919,4,-15.752,0.045,0.0172,0.803,0.346,0.115,138.982,0a32jC19qBFOvFkqldsNBA,spotify:track:0a32jC19qBFOvFkqldsNBA,514800,4
895,Signalrunners & Julie Thompson,These Shoulders - Club Mix,2008,0.627,0.567,7,-9.314,0.0617,0.00204,0.377,0.0429,0.287,128.027,3vR63Gb2BSbNzcEca53Q4N,spotify:track:3vR63Gb2BSbNzcEca53Q4N,460333,4
894,Adam White & Andy Moor & Whiteroom,The White Room - Original Mix - Classic Bonus Track,2014,0.555,0.927,1,-7.603,0.0326,0.000638,0.818,0.128,0.3,135.004,6wJ2h2gFl4gdLHihvwhUCN,spotify:track:6wJ2h2gFl4gdLHihvwhUCN,552240,4
893,Cosmic Gate & Andrew Bayer,The Launch - Extended Mix,2020,0.357,0.859,1,-7.046,0.0565,0.00297,0.857,0.0609,0.11,128.005,0Vo7ojYFM3tMND0jyJVsVL,spotify:track:0Vo7ojYFM3tMND0jyJVsVL,466875,4
